"Name","EllipsoidName"
"(WGS84) World Geodetic System 1984","WGS84"
"(NAD83) North American 1983","GRS80 (NAD83)"
"(NAD27) North American 1927","Clarke 1866 (NAD27)"
"Adindan","Clarke 1880"
"Afgooye","Krassovsky 1940"
"Ain el Abd 1970","International 1924"
"American Samoa 1962","Clarke 1866 (NAD27)"
"Anna 1 Astro 1965","Australian National"
"Antigua Island Astro 1943","Clarke 1880"
"Arc 1950","Clarke 1880"
"Arc 1960","Clarke 1880"
"Ascension Island 1958","International 1924"
"Astro Beacon","International 1924"
"Astro DOS 71/4","International 1924"
"Astro Tern Island (FRIG) 1961","International 1924"
"Astronomic Station No. 1 1951","International 1924"
"Astronomic Station No. 2 1951 (Truk Island)","International 1924"
"Astronomic Station Ponape 1951","International 1924"
"Astronomical Station 1952","International 1924"
"Australian Geodetic 1966","Australian National"
"Australian Geodetic 1984","Australian National"
"Ayabelle Lighthouse","Clarke 1880"
"Bekaa Valley 1920 (IGN)","Clarke 1880"
"Bellevue (IGN)","International 1924"
"Bermuda 1957","Clarke 1866 (NAD27)"
"Bissau","International 1924"
"Bogota Observatory","International 1924"
"Campo Inchauspe","International 1924"
"Canton Astro 1966","International 1924"
"Cape","Clarke 1880"
"Cape Canaveral","Clarke 1866 (NAD27)"
"Carthage","Clarke 1880"
"Chatham Island Astro 1971","International 1924"
"Chua Astro","International 1924"
"Co-Ordinate System 1937 of Estonia","Bessel 1841 Ethiopia"
"Corrego Alegre","International 1924"
"Dabola","Clarke 1880"
"Deception Island","Clarke 1880"
"Djakarta (Batavia)","Bessel 1841 Ethiopia"
"DOS 1968","International 1924"
"Easter Island 1967","International 1924"
"European 1950","International 1924"
"European 1979","International 1924"
"Fort Thomas 1955","Clarke 1880"
"Gan 1970","International 1924"
"Geodetic Datum 1949","International 1924"
"Graciosa Base SW 1948","International 1924"
"Guam 1963","Clarke 1866 (NAD27)"
"GUX 1 Astro","International 1924"
"Hjorsey 1955","International 1924"
"Hong Kong 1963","International 1924"
"Hu-Tzu-Shan","International 1924"
"Indian","Everest India 1956"
"Indian 1954","Everest India 1830"
"Indian 1960","Everest India 1830"
"Indian 1975","Everest India 1830"
"Indonesian 1974","Indonesian 1974"
"Ireland 1965","Modified Airy"
"ISTS 061 Astro 1968","International 1924"
"ISTS 073 Astro 1969","International 1924"
"Japanese Geodetic Datum 2000","GRS80 (NAD83)"
"Johnston Island 1961","International 1924"
"Kandawala","Everest India 1830"
"Kapingamarangi Astronomic Station No. 3 1951","International 1924"
"Kerguelen Island 1949","International 1924"
"Kertau 1948","Everest W. Malaysia and Singapore 1948"
"Korean Geodetic System 1995","WGS84"
"Kusaie Astro 1951","International 1924"
"L. C. 5 Astro 1961","Clarke 1866 (NAD27)"
"Leigon","Clarke 1880"
"Lemuta","International 1924"
"Liberia 1964","Clarke 1880"
"Luzon","Clarke 1866 (NAD27)"
"Mahe 1971","Clarke 1880"
"Massawa","Bessel 1841 Ethiopia"
"Merchich","Clarke 1880"
"Midway Astro 1961","International 1924"
"Minna","Clarke 1880"
"Montserrat Island Astro 1958","Clarke 1880"
"M'Porkaloko","Clarke 1880"
"Nahrwan","Clarke 1880"