"Name","Flattening","SemiMajorAxis"
"Airy 1830","299.3249646","6377563.396"
"Australian National","298.25","6378160.0"
"Bessel 1841 Ethiopia, Indonesia, Japan, and Korea","299.1528128","6377397.155"
"Bessel 1841 Namibia","299.1528128","6377483.865"
"Clarke 1858","294.26","6378293.6"
"Clarke 1866 (NAD27)","294.9786982","6378206.4"
"Clarke 1880","293.465","6378249.145"
"Everest Brunei and E. Malaysia (Sabah and Sarawak)","300.8017","6377298.556"
"Everest India 1830","300.8017","6377276.345"
"Everest India 1956","300.8017","6377301.243"
"Everest Pakistan","300.8017","6377309.613"
"Everest W. Malaysia 1969","300.8017","6377295.664"
"Everest W. Malaysia and Singapore 1948","300.8017","6377304.063"
"GRS80 (NAD83)","298.257222101","6378137.0"
"Helmert 1906","298.3","6378200.0"
"Hough 1960","297.0","6378270.0"
"Indonesian 1974","298.247","6378160.0"
"International 1924","297.0","6378388.0"
"Krassovsky 1940","298.3","6378245.0"
"Modified Airy","299.3249646","6377340.189"
"Modified Fischer 1960","298.3","6378155.0"
"South American 1969","298.25","6378160.0"
"WGS 1966","298.25","6378145.0"
"WGS 1972","298.26","6378135.0"
"WGS84","298.257223563","6378137.0"